cross connect::cross connect
individual vc4s::individual vc4s
virtual container::virtual container
optical level::optical level
large number::large number
optical domain::optical domain
sonet terms::sonet terms
lower level::lower level
physical level::physical level
system overheads::system overheads
end system::end system
system overhead::system overhead
sonet term::sonet term
means oam::means oam
unchannelized envelope::unchannelized envelope
carry super::carry super
super rate::super rate
rate data::rate data
data payload::data payload
carrier hierarchy::carrier hierarchy
functional names::functional names
terminal multiplexer::terminal multiplexer
line terminating::line terminating
terminating equipment::terminating equipment
point-to-point links::point-to-point links
links adm::links adm
connect wideband::connect wideband
matched nodes::matched nodes
means drop::means drop
important concepts::important concepts
figure shows::figure shows
signal strength::signal strength
cleaning operation::cleaning operation
synchronizing operation::synchronizing operation
end user::end user
user point::user point
destination multiplexer::destination multiplexer
path line::path line
photonic sub::photonic sub
sub layer::sub layer
tributary signals::tributary signals
terminating multiplexers::terminating multiplexers
sth frame::sth frame
frame lasts::frame lasts
ds0 channel::ds0 channel
channel remember::channel remember
microsecond kind::microsecond kind
ds0 bytes::ds0 bytes
microsecond slot::microsecond slot
byte travels::byte travels
microseconds frame::microseconds frame
voice signals::voice signals
sonet frame::sonet frame
transport overhead::transport overhead
overhead soh::overhead soh
section overhead::section overhead
line overhead::line overhead
path overhead::path overhead
overhead bytes::overhead bytes
control plain::control plain
oam capability::oam capability
similarly path::similarly path
oam capabilities::oam capabilities
first section::first section
identifies frames::identifies frames
monitors section::monitors section
section errors::section errors
section terminating::section terminating
overhead locates::overhead locates
first octet::first octet
monitors line::monitors line
line errors::line errors
interesting feature::interesting feature
first byte::first byte
overhead verifies::overhead verifies
verifies connection::verifies connection
connection path::connection path
remember path::remember path
path means::path means
end multiplexer::end multiplexer
monitors path::monitors path
path errors::path errors
path termination::path termination
termination equipment::termination equipment
synchronous payload::synchronous payload
payload envelope::payload envelope
columns hold::columns hold
separate bytes::separate bytes
separate columns::separate columns
important points::important points
arbitrary points::arbitrary points
points inside::points inside
great flexibility::great flexibility
interesting thing::interesting thing
light green::light green
green color::green color
multiple frames::multiple frames
avoids buffer::avoids buffer
buffer management::buffer management
management complexity::management complexity
artificial delays::artificial delays
yellow edge::yellow edge
direct access::direct access
synchronous lower::synchronous lower
level signals::level signals
frame recovery::frame recovery
recovery procedure::recovery procedure
sonet frames::sonet frames
frame coming::frame coming
first frame::first frame
loh means::loh means
means line::means line
overhead path::overhead path
overhead beginning::overhead beginning
beginning floats::beginning floats
span frame::span frame
path devices::path devices
end-to-end support::end-to-end support
end users::end users
sonet equipment::sonet equipment
sonet stream::sonet stream
destination location::destination location
drop multiplexers::drop multiplexers
tremendous rate::tremendous rate
synchronous system::synchronous system
master clock::master clock
clock accuracy::clock accuracy
highly accurate::highly accurate
ccm clock::ccm clock
entire network::entire network
network frames::network frames
smaller tributaries::smaller tributaries
main sonet::main sonet
sdh stream::sdh stream
send lot::send lot
optical layer::optical layer
layer equipment::layer equipment
cross connects::cross connects
connects thousands::connects thousands
software control::software control
replaces patch::replaces patch
patch panel::patch panel
good thing::good thing
control plane::control plane
handles performance::handles performance
performance monitoring::performance monitoring
pdh sonet::pdh sonet
sonet streams::sonet streams
adm functions::adm functions
drop multiplexing::drop multiplexing
multiplexing functions::multiplexing functions
sonet grooming::sonet grooming
grooming means::grooming means
higher priority::higher priority
higher quality::higher quality
multiple groups::multiple groups
similar destination::similar destination
extracting streams::extracting streams
grooming narrow::grooming narrow
narrow wider::narrow wider
wider broadband::wider broadband
optical cross::optical cross
narrow band::narrow band
sonet layer::sonet layer
ds0 grooming::ds0 grooming
ds1 grooming::ds1 grooming
white band::white band
broadband ds3::broadband ds3
ds3 grooming::ds3 grooming
means sts::means sts
high rate::high rate
means wavelength::means wavelength
fiber grooming::fiber grooming
virtual tributaries::virtual tributaries
sub multiplexing::sub multiplexing
streams coming::streams coming
fast stream::fast stream
virtual tributary::virtual tributary
tributary groups::tributary groups
virtual containers::virtual containers
sonet lingo::sonet lingo
basic sonet::basic sonet
sonet spe::sonet spe
byte interleaved::byte interleaved
sts-1 frame::sts-1 frame
small business::small business
bandwidth requirement::bandwidth requirement
distant location::distant location
public infrastructure::public infrastructure
public switched::public switched
switched tele::switched tele
tele psdn::tele psdn
psdn network::psdn network
communication equipment::communication equipment
telecom people::telecom people
separate sort::separate sort
passengers passengers::passengers passengers
individual entity::individual entity
2-pointer operation::2-pointer operation
accessing ds0::accessing ds0
ds3 requires::ds3 requires
great advantage::great advantage
figure showing::figure showing
dsic ds2::dsic ds2
higher strength::higher strength
higher speed::higher speed
speed stream::speed stream
sts payload::sts payload
payload pointer::payload pointer
tributary pointer::tributary pointer
area networking::area networking
existing today::existing today
technology grows::technology grows
sonet people::sonet people
cheap today::cheap today
expensive tomorrow::expensive tomorrow
direct transport::direct transport
experimental stage::experimental stage
telephone companies::telephone companies
major service::major service
good day,so::good day,so
day,so today::day,so today
optic components::optic components
optic communication::optic communication
layer components::layer components
optic systems::optic systems
quickly review::quickly review
wdm systems::wdm systems
wavelength division::wavelength division
optic domain::optic domain
fifty percent::fifty percent
components today::components today
optic component::optic component
basic fiber::basic fiber
light source::light source
optic cables::optic cables
multiplexers filters::multiplexers filters
filters gratings::filters gratings
